Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΑΒΔΗΡΩΝ;1.644.030;623.377;623.355;313.583
ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ;1.882.323;0;0;0
ΔΗΜΟΣ ΑΓΙΑΣ;265.038;904.485;870.614;362.23
ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ;1.473.242;762.074;317.969;130.632
ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ;4.435.441;591.071;586.83;76.566
ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ;1.492.789;459.396;459.396;175.694
ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;3.864.443;1.038.260;521.831;159.518
ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ;1.751.134;43.32;42.057;585
ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ;9.694.310;1.425.030;1.412.695;355.432
ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ;4.359.448;1.094.236;1.064.856;42.931
ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ;3.716.207;601.564;601.564;187.521
ΔΗΜΟΣ ΑΓΡΑΦΩΝ;3.958.113;175.134;35.253;4.551
ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ;7.032.666;867.788;867.788;27.226
ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ;45.366.579;19.595.272;19.595.272;1.703.667
ΔΗΜΟΣ ΑΙΓΑΛΕΩ;11.373.063;1.211.119;1.185.661;411.741
ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ;4.265.491;2.182.407;1.039.062;307.768
ΔΗΜΟΣ ΑΙΓΙΝΑΣ;6.570.974;1.054.287;1.054.287;379.91
ΔΗΜΟΣ ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ;1.085.317;692.242;115.887;90.651
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ;13.131.443;1.508.631;1.401.781;602.405
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ;16.510.348;1.979.536;1.931.149;61.199
ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ-ΘΕΣΠΙΕΩΝ;1.112.009;890.864;890.84;104.346
ΔΗΜΟΣ ΑΛΙΜΟΥ;5.159.946;779.508;776.527;401.493
ΔΗΜΟΣ ΑΛΜΥΡΟΥ;3.304.875;1.041.684;1.039.237;4.993
ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ;5.384.748;600.505;591.33;396.939
ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ;819.074;253.62;250.118;19.999
ΔΗΜΟΣ ΑΜΑΡΙΟΥ;855.14;114.399;103.545;206
ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ;30.407.124;828.583;666.178;199.536
ΔΗΜΟΣ ΑΜΟΡΓΟΥ;414.927;301.658;0;0
ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ;4.554.414;753.854;668.388;84
ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ;3.958.399;255.281;255.281;0
ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ;1.631.681;191.446;191.446;29.429
ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ;3.168.152;1.261.279;1.236.545;30.276
ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ;1.657.343;484.183;478.426;192.236
ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;7.349.869;1.815.452;881.123;574.587
ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ;10.675.802;1.459.183;1.459.183;254.931
ΔΗΜΟΣ ΑΝΑΦΗΣ;975.417;24.609;24.602;4.282
ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ;1.951.688;2.140.923;1.365.868;434.532
ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ;1.308.363;1.297.276;1.197.027;315.223
ΔΗΜΟΣ ΑΝΔΡΟΥ;2.014.357;618.58;256.117;121.805
ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ;2.890.188;8.904;680;0
