ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
0,38.0024465,23.8042084,119,ΧΟΛΑΡΓΟΥ,5/8,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973 119  Δήμος ΧΟΛΑΡΓΟΥ ΤΚ 15562,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973,2&3 Δ.Σ 2&3ΝΗΠ  ΧΟΛΑΡΓΟΥ,ΧΟΛΑΡΓΟΣ,15562.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29439,26",10.0,12.0
1,38.0608833,23.8363941,9,ΜΕΛΙΣΣΙΩΝ,,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973 9  Δήμος ΜΕΛΙΣΣΙΩΝ ΤΚ 15127,17ΗΣ ΝΟΕΜΒΡΙΟΥ 1973,2 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΛΙΣΣΙΩΝ,ΜΕΛΙΣΣΙΑ,15127.0,ΠΕΝΤΕΛΗΣ,35439.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"32773,79",117.0,110.0
2,37.9642097,23.5904686,13,ΠΕΡΑΜΑΤΟΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 13  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,25ΗΣ ΜΑΡΤΙΟΥ,5 ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",21.0,23.0
3,37.947714,23.7117293,3,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 3  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17121,25ΗΣ ΜΑΡΤΙΟΥ,,ΝΕΑ ΣΜΥΡΝΗ,17121.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26983,55",0.0,0.0
4,37.9639915,23.5921866,31,ΠΕΡΑΜΑΤΟΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 31  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,25ΗΣ ΜΑΡΤΙΟΥ,2Ο Ν/ΓΕΙΟ ΔΗΜ ΠΕΡΑΜ,ΠΕΡΑΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",142.0,127.0
5,38.0047591,23.7797255,4,ΝΕΟΥ ΨΥΧΙΚΟΥ,1,25ΗΣ ΜΑΡΤΙΟΥ 4  Δήμος ΝΕΟΥ ΨΥΧΙΚΟΥ ΤΚ 15451,25ΗΣ ΜΑΡΤΙΟΥ,2 ΔΗΜ ΣΧΟΛ Ν ΨΥΧΙΚΟ,ΝΕΟ ΨΥΧΙΚΟ,15451.0,ΦΙΛΟΘΕΗΣ – ΨΥΧΙΚΟΥ,27400.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"35671,5",137.0,135.0
6,37.9560583,23.6495478,9,ΠΕΙΡΑΙΩΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ 9 Α Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18543,25ΗΣ ΜΑΡΤΙΟΥ,40  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΛΕΥΚΑ,18543.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19233,37",80.0,92.0
7,37.963422,23.6223708,206,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ. 206  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18756,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ.,20 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΧΑΛΚΗΔΩΝ,18756.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19669,7",60.0,64.0
8,38.0458266,23.676526,6,ΠΕΤΡΟΥΠΟΛΕΩΣ,5/8,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ. 6  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,25ΗΣ ΜΑΡΤΙΟΥ ΛΕΩΦ.,ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",22.0,21.0
9,38.0363568,23.6776753,117,ΠΕΤΡΟΥΠΟΛΕΩΣ,1.5,28ΗΣ ΟΚΤΩΒΡΙΟΥ 117  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,28ΗΣ ΟΚΤΩΒΡΙΟΥ,2 ΛΥΚΕΙΟ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",143.0,172.0
10,37.9708441,23.7754377,6,ΖΩΓΡΑΦΟΥ,5/8,28ΗΣ ΟΚΤΩΒΡΙΟΥ 6  Δήμος ΖΩΓΡΑΦΟΥ ΤΚ 15772,28ΗΣ ΟΚΤΩΒΡΙΟΥ,8 ΝΗΠΙΑΓΩΓΕΙΟ,ΖΩΓΡΑΦΟΥ,15772.0,ΖΩΓΡΑΦΟΥ,69857.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23759,22",9.0,8.0
11,37.8910032,23.7436196,8,ΕΛΛΗΝΙΚΟΥ,5/8,31Η 8  Δήμος ΕΛΛΗΝΙΚΟΥ ΤΚ 16777,31Η,2ΟΝ  ΓΥΜΝΑΣΙΟ-ΛΥΚΕΙΟ ΕΛΛΗΝΙΚΟΥ,ΕΛΛΗΝΙΚΟ,16777.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26186,92",98.0,95.0
