Month,Monthly Consumption
2010-11-01,24.99414931
2010-12-01,124.9707465
2011-01-01,129.1364381
2011-02-01,115.5955273
2011-03-01,124.5859045
2011-04-01,137.9343943
2011-05-01,115.8998315
2011-06-01,88.37648045
2011-07-01,85.52562624
2011-08-01,86.24548009
2011-09-01,91.16591409
2011-10-01,88.22507815
2011-11-01,73.32004168
2011-12-01,60.61538462
2012-01-01,62.63589744
2012-02-01,58.15605806
2012-03-01,73.38468122
2012-04-01,81.24732563
2012-05-01,78.57117295
2012-06-01,80.9617577
2012-07-01,78.35008809
2012-08-01,82.07388927
2012-09-01,138.6806759
2012-10-01,134.2071057
2012-11-01,129.8741717
2012-12-01,138.4261918
2013-01-01,143.0403982
2013-02-01,143.0403982
2013-03-01,98.18968453
2013-04-01,73.74419119
2013-05-01,71.36534632
2013-06-01,43.12582426
2013-07-01,30.53269814
2013-08-01,31.55045474
2013-09-01,88.56491258
2013-10-01,123.7694945
2013-11-01,127.8951443
2013-12-01,159.8089654
2014-01-01,181.096268
2014-02-01,181.096268
2014-03-01,138.3116944
2014-04-01,113.7300613
2014-05-01,110.0613497
2014-06-01,75.26362694
2014-07-01,75.47355959
2014-08-01,77.98934491
2014-09-01,89.8691994
2014-10-01,103.6592681
2014-11-01,107.1145771
2014-12-01,85.9310506
2015-01-01,86.75995694
2015-02-01,86.75995694
2015-03-01,81.89699539
2015-04-01,76.09464839
2015-05-01,73.63998231
2015-06-01,58.69521033
2015-07-01,20.110957
2015-08-01,20.78132224
2015-09-01,48.90841406
2015-10-01,88.11362383
2015-11-01,85.29187356
2015-12-01,89.84418168
2016-01-01,92.83898773
2016-02-01,81.10375408
2016-03-01,87.27043761
2016-04-01,96.62084164
2016-05-01,93.5040403
2016-06-01,26.66364871
2016-07-01,25.80353101
2016-08-01,33.90797039
2016-09-01,89.47305389
2016-10-01,86.58682635
2016-11-01,81.80377018
2016-12-01,81.84475479
2017-01-01,84.57291328
2017-02-01,77.04930582
2017-03-01,85.87771203
2017-04-01,95.07889546
2017-05-01,90.31219291
2017-06-01,42.39001189
2017-07-01,41.02259215
2017-08-01,42.39001189
2017-09-01,106.0116422
2017-10-01,127.5745093
2017-11-01,123.969051
2017-12-01,137.2798888
2018-01-01,141.8558851
2018-02-01,117.4191995
2018-03-01,99.50862759
2018-04-01,110.1702663
2018-05-01,79.82452231
2018-06-01,34.66592116
2018-07-01,33.54766564
2018-08-01,34.66592116
2018-09-01,65.67468708
2018-10-01,71.9076006
2018-11-01,72.58181865
2018-12-01,85.0696209
2019-01-01,87.90527493
2019-02-01,79.39831284
2019-03-01,63.73679738
2019-04-01,65.86135729
2019-05-01,59.35091065
2019-06-01,50.75441413
2019-07-01,49.11717496
2019-08-01,56.01247661
2019-09-01,77.47370802
2019-10-01,74.97455615
2019-11-01,69.5461372
2019-12-01,66.98564593
2020-01-01,69.2185008
2020-02-01,59.54988905
2020-03-01,41.8785522
2020-04-01,46.36553993
2020-05-01,44.86987736
2020-06-01,71.03910934
2020-07-01,79.45099555
2020-08-01,82.09936207
2020-09-01,93.8768199
2020-10-01,118.8529745
2020-11-01,122.8147403
2020-12-01,45.28224614
2021-01-01,35.09579497
2021-02-01,28.73220423
2021-03-01,21.42286171
2021-04-01,23.71816832
2021-05-01,28.78650763
2021-06-01,41.80183701
2021-07-01,40.45339066
2021-08-01,40.45339066
2021-09-01,83.33728091
2021-10-01,80.64898153
2021-11-01,85.92547076
2021-12-01,114.7837899
2022-01-01,118.6099162
2022-02-01,96.14589119
2022-03-01,84.85747589
2022-04-01,93.94934831
2022-05-01,81.00433382
2022-06-01,50.04276245
2022-07-01,48.42847979
2022-08-01,38.74278384
